date,year,month_num,month,sunshine_hours
1941-02-01,1941,2,Feb,56.5
1941-03-01,1941,3,Mar,114.9
1941-04-01,1941,4,Apr,107.8
1941-05-01,1941,5,May,157.6
1941-06-01,1941,6,Jun,214.2
1941-07-01,1941,7,Jul,235.9
1941-08-01,1941,8,Aug,164.3
1941-09-01,1941,9,Sep,110.2
1941-10-01,1941,10,Oct,107.8
1941-11-01,1941,11,Nov,40.9
1941-12-01,1941,12,Dec,36.6
1942-01-01,1942,1,Jan,30.1
1942-02-01,1942,2,Feb,38.1
1942-03-01,1942,3,Mar,90.1
1942-04-01,1942,4,Apr,237.9
1942-05-01,1942,5,May,206.4
1942-06-01,1942,6,Jun,234.6
1942-07-01,1942,7,Jul,183.6
1942-08-01,1942,8,Aug,154.7
1942-09-01,1942,9,Sep,133.8
1942-10-01,1942,10,Oct,91.9
1942-11-01,1942,11,Nov,47.4
1942-12-01,1942,12,Dec,45.4
1943-01-01,1943,1,Jan,53.9
1943-02-01,1943,2,Feb,84.9
1943-03-01,1943,3,Mar,139.4
1943-04-01,1943,4,Apr,163.8
1943-05-01,1943,5,May,266.8
1943-06-01,1943,6,Jun,205.0
1943-07-01,1943,7,Jul,217.3
1943-08-01,1943,8,Aug,174.7
1943-09-01,1943,9,Sep,151.0
1943-10-01,1943,10,Oct,98.0
1943-11-01,1943,11,Nov,76.5
1943-12-01,1943,12,Dec,50.5
1944-01-01,1944,1,Jan,50.7
1944-02-01,1944,2,Feb,56.8
1944-03-01,1944,3,Mar,119.2
1944-04-01,1944,4,Apr,149.7
1944-05-01,1944,5,May,238.1
1944-06-01,1944,6,Jun,167.4
1944-07-01,1944,7,Jul,146.4
1944-08-01,1944,8,Aug,206.6
1944-09-01,1944,9,Sep,151.6
1944-10-01,1944,10,Oct,102.8
1944-11-01,1944,11,Nov,58.1
1944-12-01,1944,12,Dec,47.5
1945-01-01,1945,1,Jan,37.7
1945-02-01,1945,2,Feb,68.6
1945-03-01,1945,3,Mar,138.6
1945-04-01,1945,4,Apr,171.6
1945-05-01,1945,5,May,187.7
