Entity,Code,Year,Rape or colza seed - Production (tonnes),production_1974_tonnes,pct_difference_from_1974,pct_change_yoy
Romania,ROU,1997,11646.0,13300.0,-12.43609022556391,523.7814675950723
Romania,ROU,1998,28742.0,13300.0,116.10526315789474,146.7971835823459
Romania,ROU,1999,108221.0,13300.0,713.6917293233082,276.52564191775105
Romania,ROU,2000,76126.0,13300.0,472.3759398496241,-29.65690577614326
Romania,ROU,2001,101789.0,13300.0,665.3308270676691,33.71121561621522
Romania,ROU,2002,35906.0,13300.0,169.9699248120301,-64.72506852410378
Romania,ROU,2003,8080.0,13300.0,-39.24812030075188,-77.49679719266976
Romania,ROU,2004,98661.0,13300.0,641.812030075188,1121.0519801980197
Romania,ROU,2005,147566.0,13300.0,1009.5187969924812,49.56872523084097
Romania,ROU,2006,175050.0,13300.0,1216.1654135338345,18.624886491468228
Romania,ROU,2007,361500.0,13300.0,2618.0451127819547,106.51242502142244
Romania,ROU,2008,673033.0,13300.0,4960.398496240602,86.17786998616874
Romania,ROU,2009,569611.0,13300.0,4182.789473684211,-15.366557063323793
Romania,ROU,2010,943033.0,13300.0,6990.473684210527,65.5573716097477
Romania,ROU,2011,738971.0,13300.0,5456.172932330827,-21.638903410591148
Romania,ROU,2012,157511.0,13300.0,1084.2932330827068,-78.68509048392968
Romania,ROU,2013,666097.0,13300.0,4908.248120300752,322.8891950403464
Romania,ROU,2014,1059121.0,13300.0,7863.315789473684,59.00401893417926
Romania,ROU,2015,919473.0,13300.0,6813.330827067669,-13.185273448453948
Romania,ROU,2016,1292779.0,13300.0,9620.142857142857,40.59999586719785
Romania,ROU,2017,1673327.0,13300.0,12481.406015037594,29.43643113014676
Romania,ROU,2018,1610910.0,13300.0,12012.105263157897,-3.730113719553918
Romania,ROU,2019,798220.0,13300.0,5901.654135338346,-50.44912502871048
Romania,ROU,2020,780160.0,13300.0,5765.864661654136,-2.262534138458072
Romania,ROU,2021,1375070.0,13300.0,10238.872180451128,76.2548707957342
Romania,ROU,2022,1229530.0,13300.0,9144.586466165414,-10.584188441315712
Romania,ROU,2023,1789670.0,13300.0,13356.165413533836,45.55724545151399
Romania,ROU,2024,1180840.0,13300.0,8778.496240601504,-34.019120843507466
Serbia,SRB,2006,7595.0,,,
Serbia,SRB,2007,29825.0,,,292.69256089532587
Serbia,SRB,2008,51907.0,,,74.03855825649623
Serbia,SRB,2009,44300.0,,,-14.655056158128964
Serbia,SRB,2010,24399.0,,,-44.92325056433408
Serbia,SRB,2011,44531.0,,,82.51157834337472
Serbia,SRB,2012,20076.0,,,-54.916799532909664
Serbia,SRB,2013,26992.0,,,34.44909344490934
Serbia,SRB,2014,31419.47,,,16.402897154712505
Serbia,SRB,2015,33402.0,,,6.309877283098664
Serbia,SRB,2016,39404.0,,,17.968983893180045
Serbia,SRB,2017,48740.0,,,23.693026088721947
Serbia,SRB,2018,135422.0,,,177.84571194091097
Serbia,SRB,2019,84310.55,,,-37.74235353192243
Serbia,SRB,2020,73667.62,,,-12.623485435689853
Serbia,SRB,2021,73496.0,,,-0.2329653109466534
Serbia,SRB,2022,87820.0,,,19.489496026994654
Serbia,SRB,2023,133753.0,,,52.30357549533136
Serbia,SRB,2024,97674.12,,,-26.974258521304197
Slovakia,SVK,1993,58002.0,,,
Slovakia,SVK,1994,94221.0,,,62.4443984690183
Slovakia,SVK,1995,148656.0,,,57.77374470659407
Slovakia,SVK,1996,142709.0,,,-4.000511247443761
Slovakia,SVK,1997,196420.0,,,37.63672928827193
Slovakia,SVK,1998,113446.0,,,-42.243152428469614
Slovakia,SVK,1999,237120.0,,,109.01574317296334
Slovakia,SVK,2000,133844.0,,,-43.55431848852902
Slovakia,SVK,2001,240629.0,,,79.78318041899526
Slovakia,SVK,2002,257307.0,,,6.931001666465808
Slovakia,SVK,2003,52962.0,,,-79.41680560575499
Slovakia,SVK,2004,262660.0,,,395.9404856312073
Slovakia,SVK,2005,235066.0,,,-10.505596588745902
Slovakia,SVK,2006,259650.0,,,10.458339360009528
Slovakia,SVK,2007,321100.0,,,23.666474099749667
Slovakia,SVK,2008,424444.0,,,32.18436624104641
Slovakia,SVK,2009,386691.0,,,-8.89469517769128
Slovakia,SVK,2010,322452.0,,,-16.6124890416379
Slovakia,SVK,2011,332155.0,,,3.0091300410603816
Slovakia,SVK,2012,212632.0,,,-35.98410380695759
Slovakia,SVK,2013,373960.0,,,75.8719289664773
Slovakia,SVK,2014,448857.8,,,20.028291795913987
Slovakia,SVK,2015,320626.0,,,-28.56846867760792
Slovakia,SVK,2016,430549.0,,,34.28386967993862
Slovakia,SVK,2017,448665.0,,,4.2076511616564005
Slovakia,SVK,2018,485290.0,,,8.163106103663086
Slovakia,SVK,2019,422230.0,,,-12.99429207278122
Slovakia,SVK,2020,445720.0,,,5.563318570447384
Slovakia,SVK,2021,424690.0,,,-4.718208740913576
Slovakia,SVK,2022,446600.0,,,5.159057194659633
Slovakia,SVK,2023,544030.0,,,21.815942678011638
Slovakia,SVK,2024,393540.0,,,-27.66207745896366
Slovenia,SVN,1992,5021.0,,,
Slovenia,SVN,1993,3926.0,,,-21.80840470025891
Slovenia,SVN,1994,5203.0,,,32.526744778400406
Slovenia,SVN,1995,732.0,,,-85.9311935421872
Slovenia,SVN,1996,327.0,,,-55.32786885245902
Slovenia,SVN,1997,121.0,,,-62.99694189602448
Slovenia,SVN,1998,155.0,,,28.099173553719005
Slovenia,SVN,1999,450.0,,,190.3225806451613
Slovenia,SVN,2000,305.0,,,-32.22222222222222
Slovenia,SVN,2001,1156.0,,,279.0163934426229
Slovenia,SVN,2002,5179.0,,,348.0103806228374
Slovenia,SVN,2003,4831.0,,,-6.719443908090361
Slovenia,SVN,2004,5418.0,,,12.150693438211558
Slovenia,SVN,2005,5352.0,,,-1.218161683277963
Slovenia,SVN,2006,4991.0,,,-6.745142002989535
Slovenia,SVN,2007,14740.0,,,195.3315968743739
Slovenia,SVN,2008,10949.0,,,-25.719131614654
Slovenia,SVN,2009,9845.0,,,-10.083112613024026
Slovenia,SVN,2010,15522.0,,,57.66378872524125
Slovenia,SVN,2011,13948.0,,,-10.140445818837772
Slovenia,SVN,2012,16692.0,,,19.673071408087186
Slovenia,SVN,2013,15113.0,,,-9.459621375509233
Slovenia,SVN,2014,19883.0,,,31.56223119168928
Slovenia,SVN,2015,3643.0,,,-81.67781521903133
Slovenia,SVN,2016,8590.0,,,135.79467471863848
Slovenia,SVN,2017,8999.0,,,4.761350407450515
Slovenia,SVN,2018,7660.0,,,-14.87943104789421
Slovenia,SVN,2019,9450.0,,,23.368146214099216
Slovenia,SVN,2020,8520.0,,,-9.84126984126984
Slovenia,SVN,2021,6910.0,,,-18.89671361502348
Slovenia,SVN,2022,7550.0,,,9.261939218523874
Slovenia,SVN,2023,7320.0,,,-3.0463576158940358
Slovenia,SVN,2024,8260.0,,,12.841530054644812
Spain,ESP,1974,2400.0,2400.0,0.0,
Spain,ESP,1975,3800.0,2400.0,58.333333333333336,58.33333333333333
Spain,ESP,1976,4000.0,2400.0,66.66666666666666,5.263157894736836
Spain,ESP,1977,7000.0,2400.0,191.66666666666669,75.0
Spain,ESP,1978,9000.0,2400.0,275.0,28.57142857142858
Spain,ESP,1979,12000.0,2400.0,400.0,33.33333333333333
Spain,ESP,1980,17000.0,2400.0,608.3333333333333,41.66666666666667
Spain,ESP,1981,14700.0,2400.0,512.5,-13.52941176470588
Spain,ESP,1982,14700.0,2400.0,512.5,0.0
Spain,ESP,1983,12500.0,2400.0,420.8333333333333,-14.965986394557827
Spain,ESP,1984,9560.0,2400.0,298.3333333333333,-23.52
Spain,ESP,1985,12216.0,2400.0,409.0,27.782426778242677
Spain,ESP,1986,6161.0,2400.0,156.70833333333334,-49.566142763588736
Spain,ESP,1987,11527.0,2400.0,380.2916666666666,87.09625060866742
Spain,ESP,1988,13756.0,2400.0,473.1666666666666,19.337208293571617
Spain,ESP,1989,17660.0,2400.0,635.8333333333334,28.380343123000863
Spain,ESP,1990,29744.0,2400.0,1139.3333333333333,68.42582106455266
Spain,ESP,1991,17100.0,2400.0,612.5,-42.50941366325982
Spain,ESP,1992,12823.0,2400.0,434.2916666666666,-25.011695906432752
Spain,ESP,1993,16809.0,2400.0,600.375,31.084769554706384
Spain,ESP,1994,55717.0,2400.0,2221.5416666666665,231.47123564756976
Spain,ESP,1995,51100.0,2400.0,2029.1666666666667,-8.286519374697132
Spain,ESP,1996,108000.0,2400.0,4400.0,111.35029354207435
Spain,ESP,1997,98596.0,2400.0,4008.1666666666665,-8.707407407407409
Spain,ESP,1998,71900.0,2400.0,2895.833333333333,-27.0761491338391
Spain,ESP,1999,57200.0,2400.0,2283.333333333333,-20.445062586926287
Spain,ESP,2000,49600.0,2400.0,1966.6666666666667,-13.286713286713292
Spain,ESP,2001,44100.0,2400.0,1737.5,-11.08870967741935
Spain,ESP,2002,10787.0,2400.0,349.4583333333333,-75.53968253968254
Spain,ESP,2003,5752.0,2400.0,139.66666666666669,-46.676555112635576
Spain,ESP,2004,8760.0,2400.0,265.0,52.29485396383866
Spain,ESP,2005,4113.0,2400.0,71.375,-53.04794520547945
Spain,ESP,2006,7926.0,2400.0,230.25000000000003,92.70605397520058
Spain,ESP,2007,34700.0,2400.0,1345.8333333333337,337.7996467322736
Spain,ESP,2008,20810.0,2400.0,767.0833333333334,-40.02881844380404
Spain,ESP,2009,34663.0,2400.0,1344.2916666666667,66.56895723209995
Spain,ESP,2010,35500.0,2400.0,1379.1666666666663,2.4146784756079898
Spain,ESP,2011,63902.0,2400.0,2562.583333333333,80.00563380281692
